Timestamp,Invoice_No_,Staff,Customer_Name,Status,Area,Table_No_,Item_Name,Total_Amount,Total_Quantity
2024-10-03 19:59:26+00:00,C1975,SK,,Complimentary,Dine in,B 1,"ANGOORI RABDI,Amritsari Dal,BUTTER GARLIC NAAN,Basmati Rice,Bhara Hua Aloo,Butter Kulcha,Butter Naan,Butter Paratha,Butter Roomali Roti,Butter Roti,CREAM CARAMEL,Cheese & Garlic Naan,DAL KHICHDI,Diwani Handi,Dum Pukht Biryani (VEG),GULAB JAMUN,Hara Bhara Kabab,Jeera Rice,Missi Roti,Murg Makhanwala,Mushroom Galauti,Paneer Ke Shikanje,Paneer Khurchan,Paneer Lawabdar,Papad Masala,ROASTED MASALA PAPAD,Roomali Roti,Roti,Subzi Kofta Masala,TOMATO SOUP",14077.5,31.5
2024-10-03 23:14:52+00:00,C1976,Multiple,,Complimentary,Dine in,5,"Bottled Water,Stir Fried Chicken Chilly & Basil",397.5,1.5
2024-10-04 00:00:57+00:00,C1977,Multiple,,Complimentary,Garden Table,G 5,VEG SANDWICH,175.0,1.0
2024-10-04 00:17:37+00:00,C1978,SK,,Complimentary,Dine in,B 2,Amritsari Dal,1575.0,3.0
2024-10-04 00:17:50+00:00,C1979,Multiple,,Complimentary,Dine in,B 1,Green Salad,375.0,1.0
2024-10-04 00:22:27+00:00,C1980,Multiple,,Complimentary,Dine in,B 3,HOT POT RICE (CHICKEN),382.5,0.5
2024-10-04 14:34:49+00:00,C1981,Multiple,,Complimentary,Dine in,B 1,Roti,170.0,2.0
2024-10-04 16:00:28+00:00,C1982,Multiple,,Complimentary,Dine in,4,"Chicken Hunan,Chicken Kebabs (Chicken Angare),FRIED RICE (CHICKEN),Karele Kaju Masala,Red Bull",3575.0,5.0
2024-10-04 16:00:46+00:00,C1983,Multiple,,Complimentary,Dine in,11,"Bottled Water,Brown Rice,Green Salad,LASOONI PALAK",1357.5,4.5
2024-10-04 18:53:25+00:00,C1984,Multiple,,Complimentary,Garden Table,G 5,"Amritsari Dal,Appam (2pc),Bottled Water,Burnt Garlic Soup (VEG),Cheese & Garlic Naan,Cottage Cheese With Three Peppers,Crispy Corn,Dim Sum (CHICKEN),Exotic Stir Fried Vegetable,FRIED RICE (VEG),FUTCHI RICE (VEG),HAKKA NOODLES (VEG),Lemon Coriander Soup (VEG),Manchow Soup (CHICKEN),Manchow Soup (VEG),Neer Dosa(4pc),PANEER CHILLY DRY,Sweet Corn Soup (CHICKEN),Sweet Corn Soup (VEG),Vegetable Gassi",10342.5,22.5
2024-10-04 18:58:49+00:00,C1985,Multiple,,Complimentary,Dine in,11,GREEN TEA,115.0,1.0
2024-10-04 19:12:57+00:00,C1986,Multiple,,Complimentary,Dine in,B 1,VEG SANDWICH,175.0,1.0
2024-10-04 19:41:35+00:00,C1987,Multiple,,Complimentary,Dine in,B 1,KINGFISHER ULTRA,465.0,1.0
2024-10-04 23:21:24+00:00,C1988,Multiple,,Complimentary,Parcel,nan,DAL KHICHDI,675.0,1.0
2024-10-04 23:36:15+00:00,C1989,UU,,Complimentary,Dine in,B 3,Bottled Water,0.0,12.0
2024-10-04 23:36:29+00:00,C1990,Multiple,,Complimentary,Dine in,B 1,"Chicken Kebabs (Chicken Angare),Roti",652.5,3.5
2024-10-05 00:07:08+00:00,C1991,SM,,Complimentary,Dine in,2,KINGFISHER STRONG,690.0,2.0
2024-10-05 00:07:09+00:00,C1992,SM,,Complimentary,Dine in,2,Basil Garlic Cheesy Potato,795.0,1.0
2024-10-05 00:07:30+00:00,C1993,SK,,Complimentary,Dine in,B 1,Phalguni Sabzi,1590.0,2.0
2024-10-05 00:26:22+00:00,C1994,Multiple,,Complimentary,Dine in,B 2,THAI CURRY GREEN (CHICKEN),397.5,0.5
2024-10-05 00:26:35+00:00,C1995,Multiple,,Complimentary,Dine in,B 1,Green Salad,375.0,1.0
2024-10-05 00:29:01+00:00,C1996,SK,,Complimentary,Parcel,nan,"Butter Roti,DAL KHICHDI,Diwani Handi",1020.0,4.0
2024-10-05 13:35:17+00:00,C1997,Multiple,,Complimentary,Dine in,B 1,TEA,100.0,1.0
2024-10-05 14:18:35+00:00,C1998,Multiple,,Complimentary,Dine in,B 1,Roti,170.0,2.0
2024-10-05 15:35:55+00:00,C1999,Multiple,,Complimentary,Dine in,B 1,LASOONI PALAK,397.5,0.5
2024-10-05 16:06:56+00:00,C2000,Multiple,,Complimentary,Dine in,11,"Bottled Water,EGG BHURJEE,Green Salad",625.0,4.0
