Department,Raw_Material,Unit,IssuedQuantity,ConsumedQuantity,Variance,VariancePercentage
Bar,Apple,Kg,1.5,0.2,1.3,86.66666666666667
Bar,Eggs,PCS,10.0,16664.0,-16654.0,-166540.0
Bar,Lemon,Kg,82.0,2.8870000000000013,79.113,96.47926829268293
Bar,Mint Leaves,Kg,3.25,1.4900000000000002,1.7599999999999998,54.15384615384615
Bar,Pineapple Fruit,Kg,4.0,0.17,3.83,95.75
Bar,Salt Tata,PKT,1.0,29.94699999999923,-28.94699999999923,-2894.699999999923
Bar,Sugar,Kg,19.5,30.33599999999956,-10.835999999999562,-55.56923076922852
Bar,Vanilla Md Ice Cream,LTR,12.0,1.92,10.08,84.0
Breakfast,Atta,Kg,25.0,72.09999999999975,-47.09999999999975,-188.399999999999
Breakfast,Banana Leaf,PCS,5.0,11.0,-6.0,-120.0
Breakfast,Besan,Kg,10.0,3.2499999999999996,6.75,67.5
Breakfast,Coconut Big,PCS,30.0,1200.5,-1170.5,-3901.6666666666665
Breakfast,Curd Mother Dairy,Kg,8.0,19.5619999999999,-11.561999999999902,-144.52499999999878
Breakfast,Green Peas,PKT,4.0,4.956000000000001,-0.9560000000000013,-23.900000000000034
Breakfast,Hing Powder,BTL,6.0,0.5599999999999999,5.44,90.66666666666667
Breakfast,Kaju Tukda,Kg,1.0,6.024000000000002,-5.024000000000002,-502.4000000000002
Breakfast,Milk 3 Fat,PKT,4.0,28.649999999999977,-24.649999999999977,-616.2499999999994
Breakfast,Refind Oil,LTR,40.0,35.698999999999586,4.301000000000414,10.752500000001035
Butchery kitchen,Bombil,Kg,18.0,1.0,17.0,94.44444444444444
Butchery kitchen,Chicken Breast Bonless,Kg,166.0,47.079999999999984,118.92000000000002,71.63855421686748
Butchery kitchen,Chicken Leg Bonless,Kg,283.0,179.94,103.06,36.416961130742045
Butchery kitchen,Medium Prawns,Kg,26.900000000000002,9.45,17.450000000000003,64.86988847583643
Butchery kitchen,Mutton Big Raan,Kg,138.60000000000002,39.45999999999999,99.14000000000004,71.52958152958155
Butchery kitchen,Pomfret,Kg,75.3,0.4,74.89999999999999,99.468791500664
Butchery kitchen,Prawns Frozen 70/80,Kg,18.0,0.19000000000000003,17.81,98.94444444444443
Butchery kitchen,Rawas Fish,Kg,21.5,3.64,17.86,83.06976744186046
Butchery kitchen,Squid,Kg,6.5,1.6500000000000001,4.85,74.6153846153846
Butchery kitchen,Surmay Fish,Kg,14.0,2.0,12.0,85.71428571428571
Cafe,Banana Leaf,PCS,320.0,11.0,309.0,96.5625
Food Testing (Trial),Aromatic Powder,PKT,1.0,5.236000000000004,-4.236000000000004,-423.6000000000004
Food Testing (Trial),Asparagus,Kg,1.0,1.6700000000000004,-0.6700000000000004,-67.00000000000004
Food Testing (Trial),Baby Corn,Kg,0.5,10.730000000000004,-10.230000000000004,-2046.000000000001
Food Testing (Trial),Baking Powder,PKT,1.0,0.037500000000000006,0.9625,96.25
Food Testing (Trial),Banana Leaf,PCS,10.0,11.0,-1.0,-10.0
Food Testing (Trial),Basmati Rice,Kg,1.0,113.0,-112.0,-11200.0
Food Testing (Trial),Beetroots,Kg,0.5,3.5,-3.0,-600.0
Food Testing (Trial),Bell Papper Yellow,Kg,1.5,13.200000000000003,-11.700000000000003,-780.0000000000001
Food Testing (Trial),Bell Pepper Red,Kg,1.0,13.2,-12.2,-1220.0
